"type","customer_name","customer_name_2","sale_number","date_completed","total","total_hours","total_cost","profit","margin","employee_name","store_division"
"CPT","Nai Ohio Equities","Mt Carmel - 5955 E. Broad St","2525","05/01/2018","315.00","0.00","0.00","315.00","100.00","Gary Christensen","Columbus"
"CPT/HS","Net Jets","Net Jets","2542","05/01/2018","5400.00","40.00","1240.00","2303.75","65.01","Gary Christensen","Columbus" 
"CPT","Nai / Ohio Equities","Cddc","2562","05/01/2018","485.00","0.00","0.00","485.00","100.00","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","CED","2566","05/01/2018","475.00","0.00","0.00","475.00","100.00","Gary Christensen","Columbus"
"","Nationwide","Document Solutions","2600","05/01/2018","455.00","0.00","0.00","455.00","100.00","Steven Pflug","Columbus"
"CPT","Nai / Ohio Equities","FCED","2610","05/01/2018","550.00","0.00","0.00","550.00","100.00","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","585 S. Front Street","2639","05/01/2018","100.00","5.00","155.00","-105.00","-210.00","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","605 S. Front Street","2643","05/01/2018","150.00","5.00","155.00","-80.00","-106.70","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","Veritiv (610 Executive Campus Dr)","2647","05/01/2018","300.00","1.00","31.00","269.00","89.67","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","Veritiv (530 Westar Crossing)","2656","05/01/2018","225.00","2.00","62.00","163.00","72.44","Gary Christensen","Columbus"
"CPT","Cornerstone Companies 815 W. Broad","815 E. Broad St","2671","05/01/2018","150.00","2.50","77.50","72.50","48.33","Gary Christensen","Columbus"   
"","Dublin Hospital","Dublin Hospital","2680","05/01/2018","995.00","11.00","341.00","405.25","54.30","Gary Christensen","Columbus"
"CPT","Columbia Gas Transmission Ops","Columbia Gas Wv","2689","05/01/2018","1250.00","0.00","0.00","1250.00","100.00","Gary Christensen","Columbus"     
"CPT","Trane Usa","Trane Usa","2699","05/01/2018","350.00","3.00","93.00","82.00","46.86","Gary Christensen","Columbus" 
"CPT","Nationwide Insurance","Nationwide - Executive Floors","2711","05/01/2018","1200.00","20.00","620.00","730.00","54.07","Steven Pflug","Columbus"
"CPT","Sygma","Sygma","2741","05/01/2018","175.00","0.00","0.00","350.00","100.00","Gary Christensen","Columbus"   
"CPT","Voc Works / Risk Control","Voc Works / Risk Control","2751","05/01/2018","495.00","8.00","248.00","-0.50","-0.20","Gary Christensen","Columbus"
"CPT","Corporate One- Carpet","Corporate One","2798","05/01/2018","525.00","0.00","0.00","525.00","100.00","Mark Murphy","Columbus"  
"CPT","Fiserv","Fiserv","2807","05/01/2018","3.00","39.00","1209.00","1448.17","54.50","Mark Murphy","Columbus"
"CPT","Leif 1, LLC","Hondros College","2816","05/01/2018","525.00","5.00","155.00","370.00","70.48","Mark Murphy","Columbus"
"CPT","Huntington Easton Oval","Huntington Easton","2828","05/01/2018","3.00","27.00","837.00","1278.56","60.44","Mark Murphy","Columbus"  
"CPT","Huntington Gateway","Huntington Gateway","2837","05/01/2018","3.00","40.00","1240.00","688.62","35.71","Mark Murphy","Columbus"   
"CPT","Huntington Bank 41 S. High","Huntington Center - 41 S. High","2849","05/01/2018","1.00","5.00","155.00","810.58","83.95","Mark Murphy","Columbus"
"CPT/HS","Mayfair Village Nursing Care Center","Mayfair Village Nursing Care Center","2866","05/01/2018","1.00","0.00","0.00","1.00","100.00","Mark Murphy","Columbus"
"","CBRE - Brave","Easton - Vision Drive","2903","/  /","0.00","0.00","0.00","0.00","0.00","Jim Both","Columbus"
"","Childrens Hospital:Childrens Behavioral Health:Childrens BH - 495 E Main St:Childrens Behavioral","Childrens 187 Schrock","2964","06/22/2018","288.00","0.00","0.00","375.00","100.00","Russ Mclean","Columbus"
"CPT","American Electric Power","700 Morrison","3006","05/01/2018","1200.00","9.00","279.00","921.00","76.75","Russ Mclean","Columbus"  
"","American Electric Power","Gahanna","3013","05/01/2018","600.00","9.00","279.00","246.00","46.86","Russ Mclean","Columbus"  
"","American Electric Power","New Albany Tansmission Hq","3035","05/01/2018","2400.00","8.00","248.00","652.00","72.44","Russ Mclean","Columbus"   
"","American Electric Power","New Albany Tansmission Hq","3050","05/01/2018","1525.00","20.00","620.00","1280.00","67.37","Russ Mclean","Columbus"   
"HS","American Electric Power","New Albany Tansmission Hq","3064","06/06/2018","1600.00","0.00","0.00","1600.00","100.00","Russ Mclean","Columbus"    
"","American Electric Power","New Albany Tansmission Hq","3068","05/01/2018","3000.00","0.00","0.00","3000.00","100.00","Russ Mclean","Columbus"   
"","American Electric Power","Ohio Operations Center","3079","05/01/2018","600.00","6.50","201.50","398.50","66.42","Russ Mclean","Columbus" 
"","Appalachian Behavioral Healthcare","Appalachian Behavioral Healthcare-carpet","3109","05/01/2018","3858.00","0.00","0.00","3858.00","100.00","Russ Mclean","Columbus"
"","Appalachian Behavioral Healthcare","Appalachian Behavioral Healthcare-ceramic","3114","05/01/2018","2568.00","0.00","0.00","2568.00","100.00","Russ Mclean","Columbus"
"","Avi Foodsystems, Inc.","Ben Franklin Dining Room 16th Floor","3120","05/01/2018","1495.00","0.00","0.00","1495.00","100.00","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County 34 E. Fulton Street Parking Garage","3138","05/01/2018","286.00","4.00","124.00","-61.50","-98.40","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County Common Pleas Courthouse","3149","05/01/2018","3300.00","35.50","1100.50","950.33","46.34","Russ Mclean","Columbus"   
"","Franklin County Public Facilities Management","Franklin County Coroners Office","3160","05/01/2018","371.00","1.50","46.50","253.50","84.50","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County Correctional Center 2","3171","05/01/2018","535.00","4.00","124.00","113.50","47.79","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County Courthouse","3182","05/01/2018","5600.00","74.00","2294.00","1407.62","38.03","Russ Mclean","Columbus" 
"","Franklin County Public Facilities Management","Franklin County Juvenile Detention Center","3204","05/01/2018","350.00","3.00","93.00","57.00","38.00","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County Sheriff Sub-station","3215","05/01/2018","195.00","2.00","62.00","-32.00","-106.70","Russ Mclean","Columbus"
"","Franklin County Public Facilities Management","Franklin County Training Academy & Firing Range","3226","05/01/2018","405.00","5.00","155.00","20.00","11.43","Russ Mclean","Columbus"
"","Lancaster 1st United Methodist Church","Cross Roads Center","3252","05/01/2018","1975.00","0.00","0.00","1975.00","100.00","Russ Mclean","Columbus" 
"","Littler Mendelson","Littler Mendelson","3273","05/01/2018","650.00","0.00","0.00","650.00","100.00","Russ Mclean","Columbus"
"","Mount Carmel East","Mount Carmel East","3279","05/01/2018","2954.00","39.50","1224.50","-647.18","-112.10","Russ Mclean","Columbus"  
"","Nationwide Childrens Hospital","Childrens 185 Schrock","3294","05/01/2018","405.00","6.00","186.00","16.50","8.15","Russ Mclean","Columbus"
"","Nationwide Childrens Hospital","Childrens Close To Home","3305","05/01/2018","210.00","0.00","0.00","210.00","100.00","Russ Mclean","Columbus"
"","Nationwide Childrens Hospital","Childrens Sutie 305","3316","05/01/2018","215.00","0.00","0.00","215.00","100.00","Russ Mclean","Columbus"
"","Nationwide Childrens Hospital","Marysville Childrens To Home","3330","05/01/2018","650.00","0.00","0.00","325.00","100.00","Russ Mclean","Columbus"
"","Red Capital Group","Red Capital Group","3336","05/01/2018","350.00","5.00","155.00","20.00","11.43","Russ Mclean","Columbus"
"CPT","Bailey Cavalieri","Bailey Cavalieri","3391","05/01/2018","475.00","5.00","155.00","201.25","56.49","Mark Murphy","Columbus"
"CPT","Cedar Enterprises","Cedar Enterprises","3402","05/01/2018","250.00","0.00","0.00","250.00","100.00","Mark Murphy","Columbus" 
"CPT/HS","Gordon Flesch","Gordon Flesch","3413","05/01/2018","600.00","6.00","186.00","114.00","38.00","Mark Murphy","Columbus"   
"CPT","Kubota","Kubota","3432","05/01/2018","498.00","0.00","0.00","498.00","100.00","Mark Murphy","Columbus"  
"CPT","PWC - CFS","PWC-CFS","3451","05/01/2018","283.72","16.00","496.00","-208.21","-72.35","Mark Murphy","Columbus"     
"CPT","Squire Patton Boggs","Squire Patton Boggs","3462","06/13/2018","600.00","14.00","434.00","91.00","17.33","Mark Murphy","Columbus"  
"","CTH 187 W Schrock Rd","CTH 187 W Schrock Rd-emergency","3466","/  /","0.00","0.00","0.00","0.00","0.00","",""
"","American Electric Power","Dolan Labs","3543","06/13/2018","645.00","3.00","93.00","-93.00","0.00","Russ Mclean","Columbus"
"","Childrens Hospital:Childrens Behavioral Health:Childrens BH - 495 E Main St:Childrens Behavioral","Childrens Sutie 300","3600","06/08/2018","155.00","5.00","155.00","60.00","27.91","Russ Mclean","Columbus"
"","Childrens Hospital","Mansfield Childrens To Home","3601","06/22/2018","650.00","5.00","155.00","-28.50","-22.53","Russ Mclean","Columbus"
"","Cover My Meds","Cover My Meds","3608","06/16/2018","650.00","0.00","0.00","650.00","100.00","Russ Mclean","Columbus"   
"","Delaware County District Library","Main Branch","3609","06/11/2018","690.00","0.00","0.00","690.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital:Childrens Behavioral Health:Childrens BH - 495 E Main St:Childrens Behavioral","Childrens 275 Schrock","3611","06/22/2018","155.00","0.00","0.00","155.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 433 Cleveland Ave.","3612","06/03/2018","866.50","4.00","124.00","164.83","57.07","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 455 Executive Parkway","3614","06/03/2018","112.00","0.00","0.00","720.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 561 Yearling Rd.","3615","06/23/2018","108.64","1.00","31.00","77.64","71.47","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 584 County Line","3616","06/03/2018","305.83","10.00","310.00","-208.06","-204.10","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 1125 E. Main Street","3617","06/15/2018","70.00","3.00","93.00","-23.00","-32.86","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 1390 Cleveland Ave.","3619","06/19/2018","194.00","0.00","0.00","194.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 1405 South High","3620","06/27/2018","104.23","1.00","31.00","21.12","40.52","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 1777 E Dublin Granville Rd.","3621","06/08/2018","87.50","0.00","0.00","87.50","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 4434 Crossroads Center","3624","06/08/2018","70.00","1.50","46.50","23.50","33.57","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 5665 Venture Drive","3625","06/21/2018","417.45","0.00","0.00","417.45","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 5675 Venture Drive","3626","06/25/2018","533.50","0.00","0.00","533.50","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 5680 Venture Drive","3627","06/28/2018","407.00","0.00","0.00","407.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 5700 Perimeter Dr. Suite A","3628","06/07/2018","191.00","0.00","0.00","191.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 7450 Hospital Dr.","3629","06/25/2018","112.50","0.00","0.00","112.50","100.00","Russ Mclean","Columbus"
"","Franklin County Facilities Mgmt","Franklin County Children Services Chairs","3631","06/17/2018","390.00","4.00","124.00","266.00","68.21","Russ Mclean","Columbus"
"","Franklin County Childrens Services","Franklin County Children Services","3632","06/26/2018","5600.00","62.00","1922.00","3094.68","61.69","Russ Mclean","Columbus"
"","Franklin County Childrens Services","Franklin County Children Services","3633","06/24/2018","1920.00","15.00","465.00","1455.00","75.78","Russ Mclean","Columbus"
"","Franklin County Childrens Services","Franklin County Children Services","3634","06/16/2018","816.24","6.00","186.00","222.12","54.43","Russ Mclean","Columbus"
"","Matesich Distributing, Inc.","Matesich Distributing Company","3635","06/28/2018","300.00","0.00","0.00","300.00","100.00","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 6435 East Broad Street","3636","06/26/2018","379.00","5.00","155.00","34.50","18.21","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 6499 East Broad Street","3637","06/26/2018","154.56","2.00","62.00","92.56","59.89","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens 7901 Diley Rd.","3638","06/16/2018","70.00","2.50","77.50","-7.50","-10.71","Russ Mclean","Columbus"
"","Childrens Hospital","Childrens Newark 75 S. Terrace","3639","06/28/2018","43.73","0.00","0.00","43.73","100.00","Russ Mclean","Columbus"
"","Ohio Education Association","Ohio Education Association","3640","06/28/2018","475.00","10.00","310.00","46.25","12.98","Russ Mclean","Columbus" 
"","Ohios Electric Cooperatives","Ohio Electric Cooperative","3641","06/25/2018","375.00","5.00","155.00","220.00","58.67","Russ Mclean","Columbus"
"","Upper Arlington Lutheran Church","Ualc: Church At Lytham Rd.","3642","06/22/2018","0.00","0.00","0.00","0.00","0.00","Russ Mclean","Columbus"
"","Church at Mill Run","Ualc:the Church At Mill Run","3644","06/25/2018","1350.00","12.00","372.00","740.50","66.56","Russ Mclean","Columbus"
"","Franklin County Facilities Mgmt","Fleet Management","3645","06/20/2018","150.00","3.00","93.00","57.00","38.00","Russ Mclean","Columbus"
"","Franklin County Facilities Mgmt","Hague Ave.","3646","06/19/2018","522.00","4.00","124.00","398.00","76.25","Russ Mclean","Columbus"
"CPT/HS","OMNOVA  C/O Jacobs Real Estate Svcs","Omnova","3745","06/30/2018","455.00","0.00","0.00","227.50","100.00","Ryan Reynolds","Cleveland"      
"CPT","Thompson Hine, LLP","Thompson Hine","3750","06/01/2018","450.00","0.00","0.00","900.00","100.00","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3751","07/01/2018","450.00","2.50","77.50","372.50","82.78","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3752","08/01/2018","450.00","0.00","0.00","450.00","100.00","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3753","09/01/2018","450.00","0.00","0.00","450.00","100.00","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3754","10/01/2018","450.00","0.00","0.00","450.00","100.00","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3755","11/01/2018","450.00","0.00","0.00","450.00","100.00","Mark Murphy","Columbus"    
"CPT","Thompson Hine, LLP","Thompson Hine","3756","12/01/2018","450.00","0.00","0.00","450.00","100.00","Mark Murphy","Columbus"    
"","Paradigm - 375 S High","6th Floor Common Areas","3759","07/10/2018","1100.00","0.00","0.00","575.00","100.00","Russ Mclean","Columbus"  
"","Paradigm Properties","6th Floor Common Areas","3760","10/01/2018","425.00","0.00","0.00","425.00","100.00","Russ Mclean","Columbus"  
"","PNC Realty Services Central Ohio","Dalton-mill Street","3766","07/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"","PNC Realty Services Central Ohio","Dalton-mill Street","3767","08/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"","PNC Realty Services Central Ohio","Dalton-mill Street","3768","09/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"","PNC Realty Services Central Ohio","Dalton-mill Street","3769","10/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"","PNC Realty Services Central Ohio","Dalton-mill Street","3770","11/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"","PNC Realty Services Central Ohio","Dalton-mill Street","3771","12/01/2018","38.00","0.00","0.00","38.00","100.00","Russ Mclean","Cleveland"
"HS","COTA-(Alterra) Fields Ave. Concrete","COTA Fields","3785","05/01/2018","700.00","0.00","0.00","700.00","100.00","Mark Murphy","Columbus" 
"","Huntington","Gateway Center","3795","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"CPT","NAI/ Ohio Equities","Mt Carmel Rehab Services, Suite 390","3804","/  /","325.00","0.00","0.00","325.00","100.00","Gary Christensen","Columbus"
"CPT","Paradigm Properties","City of Columbus Municipal Builiding","3938","/  /","1500.00","0.00","0.00","1500.00","100.00","Russ Mclean","Columbus"
"OTHER","Daimler Group","Ohio Health","3942","/  /","1300.00","0.00","0.00","1300.00","100.00","Steven Pflug","Columbus"
"HS","Brocon Construction","The James Cancer Care","3944","/  /","250.00","0.00","0.00","250.00","100.00","Steven Pflug","Columbus"
"CPT","Franklin County-Public Facilities Management","FCC1","3981","/  /","600.00","0.00","0.00","600.00","100.00","Russ Mclean","Columbus"
"CPT","Kohr Royer Griffith, Inc.","1682 Schrock Rd.","3982","/  /","450.00","0.00","0.00","450.00","100.00","Russ Mclean","Columbus"
"","CBRE - Brave","3401 Morse Crossing","3984","/  /","500.00","0.00","0.00","500.00","100.00","Jim Both","Columbus"
"HS","LA Fitness - Columbus","LA Fitness - E Broad St","3986","/  /","2600.00","0.00","0.00","2600.00","100.00","Steven Pflug","Columbus"
"HS","LA Fitness - Columbus","LA Fitness - Polaris","3987","/  /","1300.00","0.00","0.00","1300.00","100.00","Steven Pflug","Columbus"
"CPT","LA Fitness - Columbus","LA Fitness - Polaris","3988","/  /","650.00","0.00","0.00","650.00","100.00","Steven Pflug","Columbus"
"CPT","National Church Residences - Roche Dr","Worthington East Court","3989","/  /","1300.00","0.00","0.00","1300.00","100.00","Steven Pflug","Columbus"
"CPT","Brocon Construction","Medical Engineering Admin Offices","3991","06/17/2018","8000.00","0.00","0.00","8000.00","100.00","Steven Pflug","Columbus"
"CPT","Learning Never Ends","Learning Never Ends","3992","06/01/2018","770.00","0.00","0.00","770.00","100.00","Mark Murphy","Columbus"  
"HS","AIDS Task Force","aids task force","3993","/  /","250.00","0.00","0.00","250.00","100.00","Ryan Reynolds","Cleveland"
"","Huntington","Equipment Code","3994","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"HS","Hometeam Properties","Federal Bankruptcy Court","3998","/  /","1400.00","0.00","0.00","1400.00","100.00","Mark Murphy","Columbus" 
"CPT/HS","Crawford Hoying","Longshore Street B2 Building","4000","/  /","4200.00","0.00","0.00","4200.00","100.00","Steven Pflug","Columbus"
"OTHER","Nationwide Plaza 1;3","One Nationwide - 3rd FLOOR","4005","/  /","2666.00","0.00","0.00","2666.00","100.00","Gary Christensen","Columbus" 
"HS","LA Fitness - Columbus","LA Fitness - Grove City","4006","/  /","2378.20","0.00","0.00","2378.20","100.00","Steven Pflug","Columbus"
"HS","K and D - Terminal Tower","westbrook village","4007","/  /","4450.00","0.00","0.00","4450.00","100.00","Ryan Reynolds","Cleveland"
"HS","Mercy Health West Hospital","Mercy West Hospital","4008","06/01/2018","900.00","7.00","217.00","233.00","51.78","Waylon Roberts","Cincinnati"
"OTHER","St. Elizabeth KY","St Elizabeth Edgewood","4009","06/01/2018","5600.00","0.00","0.00","5600.00","100.00","John Tomsich","Cincinnati" 
"CPT/HS","Beacon Orthopedics & Sports Medicine","Beacon Orthopedics & Sports Medicine","4010","06/01/2018","800.00","9.25","286.75","113.25","28.31","Waylon Roberts","Cincinnati"   
"CPT/HS","General Cable","General Cable","4011","06/01/2018","500.00","9.00","279.00","-16.50","-6.29","Waylon Roberts","Cincinnati"
"CPT/HS","Anthem BC BS","Anthem Oakley Station","4012","06/01/2018","600.00","10.00","310.00","-10.00","-3.33","Waylon Roberts","Cincinnati"  
"CPT/HS","Keating Muething & Klekamp PLL","Keating Muething & Klekamp PLL","4013","06/01/2018","500.00","12.00","372.00","-122.00","-48.80","Waylon Roberts","Cincinnati"   
"CPT/HS","AXIS","Vorys Legal Counseling","4014","06/01/2018","800.00","5.00","155.00","385.00","71.30","Waylon Roberts","Cincinnati"
"CPT","Street Property MGMT/ 501 W. Schrock carpet","Street Property - 501 W. Schrock Rd","4015","06/01/2018","600.00","2.00","62.00","838.00","93.11","Mark Murphy","Columbus"   
"CPT","Easton Town Center / Steiner Management","Easton Town Center","4016","/  /","475.00","0.00","0.00","475.00","100.00","Steven Pflug","Columbus"
"HS","Marion General Hospital","Nutrition Services","4017","06/11/2018","8350.00","0.00","0.00","8350.00","100.00","Steven Pflug","Columbus"
"CPT/HS","DSC Logistics","dsc","4018","/  /","4998.00","0.00","0.00","4998.00","100.00","Gary Christensen","Columbus"
"HS","Ohios Electric Cooperatives","Ohio Electric Cooperatives","4021","/  /","200.00","0.00","0.00","200.00","100.00","Russ Mclean","Columbus"
"OTHER","DSC Logistics","DSC Logistics","4022","/  /","750.00","0.00","0.00","750.00","100.00","Gary Christensen","Columbus"
"","Huntington","Room Code","4029","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"","Huntington","Room Code","4030","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"HS","Crothall Healthcare","Good Sam Hospital","4031","06/21/2018","5136.00","0.00","0.00","5136.00","100.00","John Tomsich","Cincinnati"
"CPT","Marty ONeil","Marty ONeils House","4032","/  /","0.00","0.00","0.00","0.00","0.00","Jim Both","Columbus"
"","Huntington","LISA.MIKSIC@HUNTINGTON.COM","4034","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"    
"","Huntington","Room Code","4035","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"","Huntington","Room Code","4036","/  /","0.00","0.00","0.00","0.00","0.00","Mark Murphy","Columbus"
"CPT","Progressive Insurance Company","Progressive Omega West","4037","06/30/2018","1380.00","0.00","0.00","1380.00","100.00","Samantha Fovozzo","Cleveland"    
"HS","LA Fitness - Columbus","LA Fitness - Polaris","4038","/  /","2410.00","0.00","0.00","2410.00","100.00","Steven Pflug","Columbus"
"HS","LA Fitness - Columbus","LA Fitness - Polaris","4039","/  /","1440.00","0.00","0.00","1440.00","100.00","Steven Pflug","Columbus"
"HS","LA Fitness - Columbus","LA Fitness - Polaris","4040","/  /","350.00","0.00","0.00","350.00","100.00","Steven Pflug","Columbus"
"CPT","LA Fitness - Columbus","LA Fitness - Polaris","4041","/  /","430.00","0.00","0.00","430.00","100.00","Steven Pflug","Columbus"
"CPT","Sygma","Sygma - 2nd floor","4043","/  /","1400.00","0.00","0.00","1400.00","100.00","Gary Christensen","Columbus"
"OTHER","Ohio State University","taylor tower","4045","/  /","0.00","0.00","0.00","0.00","0.00","Chris Parkinson","Columbus"
"OTHER","CDH Endoscopy Center","CDH Endoscopy Center","4046","08/16/2018","3600.00","0.00","0.00","3600.00","100.00","Chris Parkinson","Cleveland"     
"OTHER","Dancing Paws","dancing paws","4050","09/30/2018","451.50","0.00","0.00","451.50","100.00","Ryan Reynolds","Cleveland"   
"","Ulmer & Berne","Ulmer & Berne","4051","05/01/2018","1.00","14.00","434.00","103.50","19.26","Mark Murphy","Columbus" 
"HS","Pierson Wireless Corp","Nationwide Arena- Data areas","4052","/  /","4200.00","0.00","0.00","4200.00","100.00","Eddie Davis","Columbus"
"","CBRE - Brave","Easton - Vision Drive","4055","/  /","500.00","0.00","0.00","500.00","100.00","Jim Both","Columbus"
"CPT","Axis Interior Systems Inc.","north point building - 10th floor UHG","4056","/  /","987.00","0.00","0.00","987.00","100.00","Ryan Reynolds","Cleveland"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4057","06/06/2018","187.25","0.00","0.00","187.25","100.00","Waylon Roberts","Cincinnati"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4058","06/08/2018","160.50","0.00","0.00","160.50","100.00","Waylon Roberts","Cincinnati"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4059","06/08/2018","160.50","0.00","0.00","160.50","100.00","Waylon Roberts","Cincinnati"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4060","06/18/2018","160.50","0.00","0.00","160.50","100.00","Waylon Roberts","Cincinnati"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4061","06/25/2018","187.25","0.00","0.00","187.25","100.00","Waylon Roberts","Cincinnati"
"CPT","Life Enriching Communities - Tri Ridge","Twin Lakes of Montgomery","4062","06/08/2018","187.25","0.00","0.00","187.25","100.00","Waylon Roberts","Cincinnati"
"CPT","Ohio Turnpike","ohio turnpike and infrastructure commission","4066","/  /","1862.00","0.00","0.00","1862.00","100.00","Ryan Reynolds","Cleveland"
"HS","Petland Pickerington","Petland Pickerington","4070","/  /","350.00","0.00","0.00","350.00","100.00","Steven Pflug","Columbus"
"CPT","K and D - Terminal Tower","Halle","4071","/  /","348.00","0.00","0.00","348.00","100.00","Samantha Fovozzo","Cleveland"
"","CBRE - Brave","350 South Cleveland","4072","06/28/2018","525.58","0.00","0.00","525.58","100.00","Jim Both","Columbus"
"JAN","Elford Construction","Rhodes Hall 2nd Floor","4076","/  /","1750.00","0.00","0.00","1750.00","100.00","Steven Pflug","Columbus"
"OTHER","Price Waterhouse Coopers","Price Waterhouse Cooper","4077","/  /","500.00","0.00","0.00","500.00","100.00","Waylon Roberts","Columbus"   
"HS","St. Mary Catholic Church","St Mary Catholic Church","4078","06/19/2018","3650.00","0.00","0.00","3650.00","100.00","Steven Pflug","Columbus"
"HS","St. Mary Catholic Church","St Mary Catholic Church","4079","06/20/2018","1400.00","0.00","0.00","1400.00","100.00","Steven Pflug","Columbus"
"CPT","St. Mary Catholic Church","St Mary Catholic Church","4080","06/20/2018","600.00","0.00","0.00","600.00","100.00","Steven Pflug","Columbus"
